,Message,json_out
0,"I'll be working remotely as I moved to Imadol last night. I'm not feeling well, so I'll be taking breaks to rest throughout the day.","json

    ""name"": null,
    ""late"": true,
    ""leave"": false,
    ""WFH"": True,
    ""reason"": ""Not feeling well."",
    ""start_date"": ""2024-09-03"",
    ""end_date"": null"
1,Been feeling sick since yesterday. I'll be resting for the first half of the day. I'll join office in the second half.,"json

    ""name"": ""null"",
    ""late"": true,
    ""leave"": false,
    ""WFH"": ""First Half"",
    ""reason"": ""Feeling sick."",
    ""start_date"": ""2024-09-03"",
    ""end_date"": ""2024-09-03"""
2,Since nobody will be present at home tomorrow. I will be working from home tomorrow.,"
json

[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": null
    }
]"
3,I will be late for standup or on first half leave tomorrow depending on how quickly the car issues will be resolved at the service center.,"json

    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": ""First Half"",
        ""WFH"": false,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": ""Car issues at the service center""
    }"
4,"I will be little bit late. Forgot phone at room while coming to office, got back to room again.","json

    {
        ""name"": null,
        ""late"": true,
        ""leave"": false,
        ""WFH"": false,
        ""reason"": ""Forgot phone at room while coming to office, got back to room again."",
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
5,I'm working from home today as well!,"
json

    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": false,
        ""WFH"": true,
        ""reason"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null
    }"
6,"I have not been feeling well since yesterday evening (headache and dizziness again) so I will be working lightly remotely for today at least with rests. As for tomorrow, I will keep you guys updated depending on how I feel. Take care, guys.","json
[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": true,
        ""start_date"": ""2024-09-04"",
        ""end_date"": null,
        ""reason"": ""Not feeling well""
    },
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": false,
        ""start_date"": ""2024-09-05"",
        ""end_date"": null,
        ""reason"": ""Depending on how they feel""
    }
]"
7,Waiting for my turn for defense might be a bit late for standup.,"json

[
    {
        ""name"": ""null"",
        ""late"": true,
        ""leave"": false,
        ""WFH"": null,
        ""start_date"": ""2024-09-03"",
        ""end_date"": null,
        ""reason"": ""Waiting for my turn for defense might be a bit late for standup.""
    }
]"
8,"I will be out for a while, I will be having lunch outside. See you after lunch.","json

[
    
    {
        ""name"": null,
        ""late"": false,
        ""leave"": false,
        ""WFH"": false,
        ""reason"": ""To have lunch"",
        ""start_date"": null,
        ""end_date"": null
    }
]"
9,Will be on leave for the first half. Nobody at home and ama not feeling well.,"json
[
    {
        ""name"": ""null"",
        ""late"": false,
        ""leave"": true,
        ""WFH"": null,
        ""start_date"": ""2024-09-04"",
        ""end_date"": ""2024-09-04"",
        ""reason"": ""Not feeling well.""
    }
]"
